,0
0,https://www.airbnb.com.vn/rooms/1219611692681123962?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899944_P36raAZ7iOGt0u6o&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
1,https://www.airbnb.com.vn/rooms/1207967221092551228?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899945_P3ba-LB67xkejl2T&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
2,https://www.airbnb.com.vn/rooms/1221596990302177961?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899945_P3LOB230Y5mo4juH&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
3,https://www.airbnb.com.vn/rooms/1019822485576126175?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899945_P3yrGK2erKZAFZEu&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
4,https://www.airbnb.com.vn/rooms/1020578552150976273?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-10-27&check_out=2024-11-01&source_impression_id=p3_1723899945_P3NKhMY-ptj3M9Hx&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
5,https://www.airbnb.com.vn/rooms/1059143828623927715?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899945_P3ohhkQFTQc5zdjv&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
6,https://www.airbnb.com.vn/rooms/1212737242611465626?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1965486550&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899945_P34phkR2_QeZIkpk&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
7,https://www.airbnb.com.vn/rooms/1204123601752762951?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-26&check_out=2024-08-31&source_impression_id=p3_1723899945_P3k_ShkokJwXN6VC&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
8,https://www.airbnb.com.vn/rooms/1140172494468136256?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1899486839&search_mode=regular_search&check_in=2024-08-19&check_out=2024-08-24&source_impression_id=p3_1723899945_P3k3ivfee0W_ZnMy&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
9,https://www.airbnb.com.vn/rooms/32370200?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899945_P30-VhKg3BWKBJuU&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
10,https://www.airbnb.com.vn/rooms/637431791087968321?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899945_P3qEC_Pmo-iihP53&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
11,https://www.airbnb.com.vn/rooms/1099574886201116845?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-21&check_out=2024-08-26&source_impression_id=p3_1723899945_P3A60UYE4NGzwHS1&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
12,https://www.airbnb.com.vn/rooms/880006879804614850?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899945_P3DUjdwWr9Hlg313&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
13,https://www.airbnb.com.vn/rooms/789494366667537682?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1922333991&search_mode=regular_search&check_in=2024-09-02&check_out=2024-09-07&source_impression_id=p3_1723899945_P3A_tp_1HRk9RUcE&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
14,https://www.airbnb.com.vn/rooms/686701260232102555?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899945_P34tO1PBNB1I-1s9&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
15,https://www.airbnb.com.vn/rooms/1061933195988710361?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1813886783&search_mode=regular_search&check_in=2024-09-02&check_out=2024-09-07&source_impression_id=p3_1723899945_P3YRdY-DAm8Nfr6N&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
16,https://www.airbnb.com.vn/rooms/1164538808948700997?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1917984653&search_mode=regular_search&check_in=2024-08-23&check_out=2024-08-28&source_impression_id=p3_1723899945_P37LbwRdLsHnJIPe&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
17,https://www.airbnb.com.vn/rooms/1198127913912279507?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899945_P3BjeH8J8L2sI8lw&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
