No,Name,Price,Location,Rate,Living Room,Bed Room,Bed,Bath Room,Link
0,ZY 4. Studio ấm cúng và phong cách tại *Riverside D1*,₫544.743 ,Quận 1,NA,2,1,1,1,https://www.airbnb.com.vn/rooms/1219611692681123962?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899944_P36raAZ7iOGt0u6o&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
1,Căn hộ cao cấp nội thất đẹp nằm ở quận Bintan,₫1.302.734 ,Bình Thạnh,"5,0",4,2,2,2,https://www.airbnb.com.vn/rooms/1207967221092551228?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899945_P3ba-LB67xkejl2T&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
2,SunFlowerHome-DuplexD1BenThanh,₫523.411 ,Quận 1,NA,3,2,2,1,https://www.airbnb.com.vn/rooms/1221596990302177961?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899945_P3LOB230Y5mo4juH&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
3,NA,NA,NA,NA,0,0,0,0,https://www.airbnb.com.vn/rooms/1019822485576126175?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899945_P3yrGK2erKZAFZEu&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
4,New 1BR+Bếp +Bếp+Ban công D1,₫1.200.000 ,Quận 1,"4,96",2,1,1,1,https://www.airbnb.com.vn/rooms/1020578552150976273?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-10-27&check_out=2024-11-01&source_impression_id=p3_1723899945_P3NKhMY-ptj3M9Hx&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
5,"MiMi house đẹp, tiện nghi, yên tĩnh",₫1.503.154 ,Tân An Hội,"5,0",4,1,1,2,https://www.airbnb.com.vn/rooms/1059143828623927715?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899945_P3ohhkQFTQc5zdjv&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
6,"5-Chill in SG, 100' projector, 2mins to District.1",₫550.000 ,Bình Thạnh,NA,1,1,0,0,https://www.airbnb.com.vn/rooms/1212737242611465626?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1965486550&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899945_P34phkR2_QeZIkpk&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
7,Urban Oasis w Cement Bathtub & Projector @BuiVien,₫801.682 ,Quận 1,"5,0",3,1,1,1,https://www.airbnb.com.vn/rooms/1204123601752762951?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-26&check_out=2024-08-31&source_impression_id=p3_1723899945_P3k_ShkokJwXN6VC&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
8,Tonbon - Phong cách sống Nhật Bản,₫250.526 ,Quận 10,"4,92",1,1,0,0,https://www.airbnb.com.vn/rooms/1140172494468136256?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1899486839&search_mode=regular_search&check_in=2024-08-19&check_out=2024-08-24&source_impression_id=p3_1723899945_P3k3ivfee0W_ZnMy&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
9,Botanist Lab studio bao gồm bếp bởi CIRCADIAN,₫778.734 ,Ho Chi Minh,"4,85",2,1,1,1,https://www.airbnb.com.vn/rooms/32370200?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899945_P30-VhKg3BWKBJuU&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
10,The Sun Avenue - Diamond Island nhìn ra,₫810.000 ,Quận 2,"5,0",3,1,1,1,https://www.airbnb.com.vn/rooms/637431791087968321?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899945_P3qEC_Pmo-iihP53&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
11,Home.byAB - Vinhomes Grand Park - Origami S7.02A,₫560.176 ,Quận 9,"4,92",2,1,1,1,https://www.airbnb.com.vn/rooms/1099574886201116845?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-21&check_out=2024-08-26&source_impression_id=p3_1723899945_P3A60UYE4NGzwHS1&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
12,"20% TẮT 80"" Máy chiếu @ Bùi Viện @ Saigon Hideout",₫482.011 ,Quận 1,"4,77",2,1,1,1,https://www.airbnb.com.vn/rooms/880006879804614850?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899945_P3DUjdwWr9Hlg313&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
13,Gác lửng thoải mái full nội thất sạch sẽ tiện nghi,₫330.000 ,Quận 1,"4,84",1,1,0,0,https://www.airbnb.com.vn/rooms/789494366667537682?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1922333991&search_mode=regular_search&check_in=2024-09-02&check_out=2024-09-07&source_impression_id=p3_1723899945_P3A_tp_1HRk9RUcE&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
14,"Tháp Masteri Thảo Điền T3, 1 phòng ngủ 1WC",₫958.000 ,Quận 2,"4,83",2,1,1,1,https://www.airbnb.com.vn/rooms/686701260232102555?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899945_P34tO1PBNB1I-1s9&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
15,Không gian thoải mái với tầm nhìn tuyệt vời ở D7,₫405.851 ,Quận 7,NA,1,1,0,0,https://www.airbnb.com.vn/rooms/1061933195988710361?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1813886783&search_mode=regular_search&check_in=2024-09-02&check_out=2024-09-07&source_impression_id=p3_1723899945_P3YRdY-DAm8Nfr6N&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
